ID;year;constructorId;name;points;wins;target;avg_driver_points;avg_grid_position;avg_final_position;dnf_count;total_driver_points
148;1967;183;Brabham-Climax;2.0;0;0;0.25;12.5;9.75;5;12.0
149;1967;184;LDS-Climax;0.0;0;0;0.0;14.0;9.0;1;0.0
150;1967;187;McLaren-Ford;0.0;0;0;0.0;16.0;7.0;0;0.0
151;1967;189;Eagle-Climax;0.0;0;0;0.0;7.25;15.75;4;13.0
152;1967;190;Eagle-Weslake;13.0;1;0;1.0;5.076923076923077;13.153846153846153;12;85.0
153;1967;191;Brabham-Repco;63.0;4;1;3.7037037037037037;7.222222222222222;5.814814814814815;9;560.0
154;1967;193;Cooper-ATS;0.0;0;0;0.0;20.0;15.0;1;0.0
155;1967;194;McLaren-BRM;3.0;0;0;0.5;8.333333333333334;11.5;4;18.0
156;1968;1;McLaren;0.0;0;0;0.0;10.5;10.5;2;42.0
157;1968;6;Ferrari;32.0;1;0;1.5416666666666667;5.208333333333333;10.625;15;228.0
158;1968;11;Honda;14.0;0;0;0.9333333333333333;8.266666666666667;10.466666666666667;12;65.0
159;1968;26;Lola;0.0;0;0;0.0;18.0;10.0;0;0.0
160;1968;66;BRM;28.0;0;0;0.875;12.21875;10.21875;22;161.0
161;1968;82;Matra;8.0;0;0;0.6666666666666666;14.083333333333334;10.583333333333334;7;86.0
162;1968;89;LDS;0.0;0;0;0.0;22.0;15.0;1;0.0
163;1968;167;Cooper-Maserati;0.0;0;0;0.0;18.666666666666668;13.666666666666666;2;0.0
164;1968;170;Cooper-Climax;0.0;0;0;0.0;20.0;16.0;1;0.0
165;1968;180;Lotus-Ford;62.0;5;1;2.0833333333333335;7.5;9.305555555555555;24;409.0
166;1968;183;Brabham-Climax;0.0;0;0;0.0;23.0;10.0;1;0.0
167;1968;187;McLaren-Ford;49.0;3;0;2.4347826086956523;6.695652173913044;7.782608695652174;12;274.0
168;1968;190;Eagle-Weslake;0.0;0;0;0.0;11.2;12.8;4;0.0
169;1968;191;Brabham-Repco;10.0;0;0;0.375;8.375;12.78125;27;84.0
170;1968;194;McLaren-BRM;3.0;0;0;0.375;14.75;13.375;5;5.0
171;1968;195;Cooper-BRM;14.0;0;0;0.9523809523809523;15.238095238095237;11.380952380952381;15;78.0
172;1968;196;Matra-Ford;45.0;3;0;2.8125;7.375;6.1875;8;221.0
173;1969;6;Ferrari;7.0;0;0;0.6363636363636364;7.636363636363637;8.909090909090908;7;20.0
174;1969;66;BRM;7.0;0;0;0.28;12.24;11.68;20;27.0
175;1969;167;Cooper-Maserati;0.0;0;0;0.0;16.0;7.0;0;0.0
176;1969;180;Lotus-Ford;47.0;2;0;1.2826086956521738;8.08695652173913;9.08695652173913;29;352.0
177;1969;182;Brabham-Ford;49.0;2;0;1.8888888888888888;8.75;8.36111111111111;20;289.0
178;1969;183;Brabham-Climax;0.0;0;0;0.0;19.0;17.0;1;0.0
179;1969;187;McLaren-Ford;38.0;1;0;1.6896551724137931;7.482758620689655;8.137931034482758;15;312.0
180;1969;191;Brabham-Repco;0.0;0;0;0.0;16.5;8.5;1;0.0
181;1969;196;Matra-Ford;66.0;6;1;3.5416666666666665;6.416666666666667;5.291666666666667;8;570.0
182;1969;197;BRM-Ford;0.0;0;0;0.0;16.0;8.0;1;0.0
183;1970;6;Ferrari;52.0;4;0;3.04;4.32;7.96;12;306.0
184;1970;25;Tyrrell;0.0;0;0;0.0;1.6666666666666667;15.0;3;75.0
185;1970;32;Team Lotus;59.0;6;1;1.4583333333333333;9.354166666666666;12.416666666666666;35;366.0
186;1970;34;Brabham;35.0;1;0;1.25;11.035714285714286;10.892857142857142;15;315.0
187;1970;37;March;48.0;1;0;0.873015873015873;9.619047619047619;11.682539682539682;45;328.0
188;1970;63;Surtees;3.0;0;0;0.375;12.125;13.0;8;14.0
189;1970;66;BRM;23.0;1;0;0.6756756756756757;10.945945945945946;13.513513513513514;28;148.0
